ID,Song Title,Tempo,Duration,Year,Album,Artist,Writers,Producer,Url,Start,End,Trim Offset (s),Tags
GR0051,Mpompan,86,03:55:00,2018,2XXX,LEX,LEX (GRC),"The Damned United, Dof Twogee",https://www.youtube.com/watch?v=ZXeJZAaOV18,,,0.021,trap; drill; hip hop
GR0052,Pafsipona,114,05:16:00,2018,2XXX,LEX,"LEX (GRC), SADAM (GRC)","The Damned United, Dof Twogee",https://www.youtube.com/watch?v=syneo5h98Q4,,,0.021,trap; drill; hip hop
GR0053,Paidia Tou Pagetou,168,03:48:00,2016,,LEX,LEX (GRC),Asto Pasam,https://www.youtube.com/watch?v=3RF1eH0z3gE,,,0.309,underground rap; trap
GR0054,Polikatoikies,79,03:36:00,2018,2XXX,LEX,LEX (GRC),"The Damned United, Dof Twogee",https://www.youtube.com/watch?v=s0iHu9St98c,,,0.043,trap; drill; hip hop
GR0055,Vittorio,82,03:55:00,2018,2XXX,LEX,LEX (GRC),"Tyler Rydosz, The Damned United, Dof Twogee",https://www.youtube.com/watch?v=lq7d6l9UYxE,,,0.021,trap; drill; hip hop
GR0057,Death Before Dishonor,120,02:23:00,2024,,Light,"Light, Kidd",,https://www.youtube.com/watch?v=ctWMrzeVtvI,,,0.021,trap; hip hop
GR0058,Drive By,99,03:13:00,2023,,Light,"Light, Alitiz",MUNEYLXRD,https://www.youtube.com/watch?v=EQR_OmaZcxU,,,2.912,trap; hip hop
GR0062,Filakes,168,03:36:00,2020,,Strat,"Strat, Mad Clip","Quintin Johnson, BeTaf Beats",https://www.youtube.com/watch?v=AUKzhRgja5E,,,9.344,trap; drill; hip hop
GR0063,Hustla,143,03:54:00,2019,,Mad Clip,Mad Clip,"Gosei, DJ Stephan",https://www.youtube.com/watch?v=Hw6RFGzbc5Y,,,2.795,trap; hip hop
GR0064,Meta Tis 10,97,02:12:00,2024,Multiverse,Mpelafon,"LADELE, Mpelafon",Mpelafon,https://www.youtube.com/watch?v=uqeEwCBKIrU,,,0.053,underground rap
GR0065,GreeKs,145,02:29:00,2026,,Negros Tou Moria,"Dennis Green, Negros Tou Moria",Dennis Green,https://www.youtube.com/watch?v=mCYdimWDgE8,,,0.000,trap; drill; hip hop
GR0066,Samatas,156,02:44:00,2025,MAVRI ELLADA,Negros Tou Moria,Negros Tou Moria,"Danny Brasco, Serko Fu",https://www.youtube.com/watch?v=I1NsACmB2rg,,,0.117,underground rap; hip hop
GR0067,PragmatiKotita,99,02:44:00,2025,MAVRI ELLADA,Negros Tou Moria,Negros Tou Moria,Evan SBK,https://www.youtube.com/watch?v=T3izZKEUmGg,,,0.064,underground rap; hip hop
GR0068,Kapos Allios vol.12,95,03:07:00,2025,MAVRI ELLADA,Negros Tou Moria,"Negros Tou Moria, Bloody Hawk",Ody Doze,https://www.youtube.com/watch?v=xfH6WJGXBzc,,,0.181,hip hop
GR0069,IC (INVIDIA),126,02:01:00,2023,THRASOS,Negros Tou Moria,Negros Tou Moria,Kest (GRC),https://www.youtube.com/watch?v=C3hxjHEIGIQ,,,0.608,hip hop
GR0070,TO YPOGEIO (STIN YPOGA),122,02:23:00,2023,THRASOS,Negros Tou Moria,"Negros Tou Moria, Hatemost",Ody Doze,https://www.youtube.com/watch?v=VF9PKkZgFy4,,,2.091,underground rap; trap; hip hop
GR0071,AKOLOUTHOS,135,02:49:00,2023,THRASOS,Negros Tou Moria,Negros Tou Moria,Ody Doze,https://www.youtube.com/watch?v=xkcXlUTtohg,,,0.021,hip hop
GR0073,F16,120,03:05:00,2024,EGO THERAPY,RACK,"RACK, Dani Gambino",Beyond (GRC),https://www.youtube.com/watch?v=81fpqn-3n7s,,,0.021,trap; drill; hip hop
GR0075,GIA TI FANELA,86,03:24:00,2024,EGO THERAPY,RACK,"RACK, Bloody Hawk",Beyond (GRC),https://www.youtube.com/watch?v=dzQ735WanaI,,,0.139,trap; drill; hip hop
GR0076,MA BELLA,101,02:52:00,2024,EGO THERAPY,RACK,"RACK, Toquel",Beyond (GRC),https://www.youtube.com/watch?v=JAiqjVwFbos,,,0.021,trap; drill; hip hop
GR0077,Intro,139,03:54:00,2024,Golgothas,Sadam,SADAM (GRC),Dof Twogee,https://www.youtube.com/watch?v=PZ0m9NqHQNo,,,0.000,underground rap; trap; drill; hip hop
GR0078,Ekato,125,03:27:00,2024,Golgothas,Sadam,"SADAM (GRC), HGEMONA$",Mike G (GRC),https://www.youtube.com/watch?v=ZKdAoSodxOM,,,0.000,underground rap; trap; drill
GR0079,Skg Mecca,99,02:31:00,2024,Golgothas,Sadam,"SADAM (GRC), Tsaki","Ortiz, Dof Twogee",https://www.youtube.com/watch?v=ukwR5xLRqx0,,,0.011,underground rap; trap; drill; hip hop
GR0080,Hardcore,92,04:20:00,2016,I Texni tis Epiviosis,Sadomas,"Tzamal, LEX (GRC), Sadomas",Phaser (GRC),https://www.youtube.com/watch?v=6vblwguWWl0,,,0.075,underground rap; trap; hip hop
